source	interaction	target
NR5A1	upregulates-expression	SRY
SP1	upregulates-expression	MUC2
SP3	upregulates-expression	MUC2
POU2F1	upregulates-expression	GADD45A
SP1	upregulates-expression	PDGFB
EGR1	upregulates-expression	PDGFB
HNF4A	upregulates-expression	APOB
HNF4A	upregulates-expression	APOC3
SP1	upregulates-expression	CDKN1B
ETS1	upregulates-expression	CDKN2A
ETS2	upregulates-expression	CDKN2A
FOSL1	upregulates-expression	PLAUR
JUN	upregulates-expression	PLAUR
TP53	upregulates-expression	NDRG1
MITF	upregulates-expression	TYRP1
SP3	upregulates-expression	UTRN
IRF1	upregulates-expression	TAP2
CREB1	upregulates-expression	IL2
ETV4	downregulates-expression	PLAUR
SPI1	upregulates-expression	CYBB
USF1	upregulates-expression	APC
USF2	upregulates-expression	APC
JUN	upregulates-expression	NOS2
SPI1	upregulates-expression	IL12B
REL	upregulates-expression	IL2
JUND	upregulates-expression	IVL
SP1	upregulates-expression	GJA1
SOX9	upregulates-expression	AMH
SRF	upregulates-expression	DMD
SP3	downregulates-expression	MAOB
SP1	upregulates-expression	MAOB
FOS	upregulates-expression	CD69
NR3C1	upregulates-expression	SCNN1A
USF1	downregulates-expression	CYP1A1
ETV4	upregulates-expression	PTGS2
NFE2L2	upregulates-expression	HMOX1
ESR1	upregulates-expression	CDKN1A
TP53	upregulates-expression	CASP1
PPARG	downregulates-expression	PTGS2
POU2F1	upregulates-expression	CDX2
HNF1A	upregulates-expression	PDX1
SP1	upregulates-expression	APOA1
HIF1A	upregulates-expression	EDN1
CEBPB	upregulates-expression	IL12B
JUN	upregulates-expression	IL12B
SRF	upregulates-expression	TAGLN
CDX2	upregulates-expression	SI
E4F1	downregulates-expression	CCNA2
ZBTB17	upregulates-expression	CDKN2B
MYC	downregulates-expression	CDKN2B
PPARA	upregulates-expression	FABP1
HNF1A	upregulates-expression	AKR1C4
SP1	upregulates-expression	SLC9A2
SP3	upregulates-expression	SLC9A2
NR1H2	upregulates-expression	SREBF1
NR1H3	upregulates-expression	SREBF1
PPARG	downregulates-expression	CCND1
FOS	downregulates-expression	CCND1
SP1	downregulates-expression	CDK6
WT1	downregulates-expression	AR
TP53	downregulates-expression	DNMT1
MITF	upregulates-expression	DCT
TFAP2A	downregulates-expression	F2R
TFAP2A	upregulates-expression	FAS
TFAP2A	upregulates-expression	KIT
STAT3	upregulates-expression	A2M
JUN	upregulates-expression	CYP11A1
JUN	upregulates-expression	MMP9
USF1	upregulates-expression	TOP3A
YY1	upregulates-expression	TOP3A
SMAD3	upregulates-expression	BGLAP
MITF	upregulates-expression	CTSK
JUND	upregulates-expression	IL6
SP1	upregulates-expression	CES1
TFAP2A	upregulates-expression	TAF7
CEBPA	upregulates-expression	LEP
MYC	downregulates-expression	CEBPA
CEBPA	downregulates-expression	MYC
SP1	upregulates-expression	CD28
EGR1	upregulates-expression	CD28
SP1	downregulates-expression	COL1A1
SP1	upregulates-expression	TIMP1
TP53	upregulates-expression	MSH2
FOS	upregulates-expression	VEGFA
FOS	downregulates-expression	IL6
USF1	downregulates-expression	PTGS2
HIF1A	upregulates-expression	HMOX1
FOXP1	upregulates-expression	SFTPC
PAX5	upregulates-expression	CD19
RELA	upregulates-expression	NFKB1
AHR	upregulates-expression	UGT1A6
SP1	upregulates-expression	CD99
STAT6	upregulates-expression	BCL2L1
TP53	downregulates-expression	POLD1
HNF4A	upregulates-expression	GHR
CREB1	upregulates-expression	BDNF
PPARG	upregulates-expression	PTEN
NR1H4	upregulates-expression	ABCB11
RELA	upregulates-expression	BCL3
E2F1	upregulates-expression	APAF1
TP53	upregulates-expression	APAF1
ETS1	upregulates-expression	CSNK2A2
SP3	downregulates-expression	TNF
TP53	downregulates-expression	CDC25C
PPARG	upregulates-expression	PCK1
SP1	upregulates-expression	AGTR1
TFAP2A	upregulates-expression	CDKN1A
HSF1	upregulates-expression	HSPA1B
SPI1	upregulates-expression	ACP5
SP1	upregulates-expression	MAT2A
SP1	upregulates-expression	CA9
STAT3	upregulates-expression	BCL2
E2F1	upregulates-expression	TERT
BMAL1	upregulates-expression	CRY1
BMAL1	upregulates-expression	PER2
NPAS2	upregulates-expression	CRY1
NPAS2	upregulates-expression	PER1
NPAS2	upregulates-expression	PER2
SP1	upregulates-expression	COL2A1
SP3	downregulates-expression	COL2A1
PAX8	upregulates-expression	BCL2
ESR1	upregulates-expression	F12
TP53	upregulates-expression	BBC3
FOXO1	upregulates-expression	PCK1
SP1	upregulates-expression	MYC
SP1	upregulates-expression	CYP7B1
TP53	upregulates-expression	SERPINE1
NFKB1	upregulates-expression	FAS
SMAD3	upregulates-expression	PTHLH
SP1	upregulates-expression	IFNGR1
EGR1	upregulates-expression	CAT
SP1	upregulates-expression	GSTP1
ETS1	upregulates-expression	ABCB1
TFAP2C	upregulates-expression	ERBB2
SP3	upregulates-expression	CYP3A5
NFYA	upregulates-expression	SP3
