Dataset	TF	Method	N_Pert	N_Control	U_Stat	MWU_AUC_Effect	ROC_AUC	PR_AUC	AP_Baseline	AP_Lift	P_Value	Adjusted_P_Value	Significant_FDR_BH	Mean_Diff	Score
ReplogleWeissman2022_K562_gwps	POLR2D	ulm	332	74615	12297172.0	0.4964105702445243	0.5035894297554757	0.004552464967159131	0.004429797056586655	1.0276915418484198	0.41057899550909305	0.7818094998627368	False	-0.00876451831756539	0.890186931309564
ReplogleWeissman2022_K562_gwps	TRIM28	ulm	57	74615	2090204.0	0.4914594332779614	0.5085405667220386	0.0009523124260618208	0.000763338332976216	1.247562692612075	0.41166075435250304	0.7818094998627368	False	-0.018171441606349786	0.8875556805880559
ReplogleWeissman2022_K562_gwps	POLE3	ulm	129	74615	4761379.0	0.4946715101344525	0.5053284898655475	0.001753260430153245	0.001725891041421385	1.0158581208633655	0.4170433954835362	0.7854317281606598	False	0.0017932446379863992	0.8745649966900559
ReplogleWeissman2022_K562_gwps	CDK7	ulm	29	74615	1059174.0	0.4894892632756194	0.5105107367243805	0.00043871709402817525	0.00038851079792079737	1.1292275436772108	0.4222927413868147	0.7887451202761994	False	-0.02282972736575198	0.8620565054759771
ReplogleWeissman2022_K562_gwps	AKT1	ulm	228	74615	8451708.0	0.49680218102046647	0.5031978189795335	0.0031260162167154313	0.0030463770826931044	1.0261422443317239	0.4336810855441582	0.795888275585157	False	0.016019551450442926	0.8354458409337631
ReplogleWeissman2022_K562_gwps	MYCN	ulm	219	74615	8117295.0	0.4967536550640319	0.5032463449359681	0.0030417456166304314	0.002926477269690248	1.0393880889265832	0.43400987951929415	0.795888275585157	False	-0.006160697859483921	0.8346879812714838
ReplogleWeissman2022_K562_gwps	XBP1	ulm	269	74615	9979308.0	0.49718956317772	0.50281043682228	0.003621574834806779	0.0035922226376796113	1.0081710406307465	0.4366820627104401	0.795888275585157	False	-0.005945177480718211	0.8285498939610906
ReplogleWeissman2022_K562_gwps	RELA	ulm	184	74615	6825069.0	0.497122110893893	0.502877889106107	0.0030464457168352774	0.002459925934838701	1.2384298542041408	0.4462817726659672	0.8011289244230806	False	-0.010412595424290572	0.8068047491713676
ReplogleWeissman2022_K562_gwps	TAF9	ulm	152	74615	5635082.0	0.49685596588804987	0.5031440341119501	0.002019199539606269	0.0020329824655262348	0.9932203419588285	0.4466470994571157	0.8011289244230806	False	0.004046139641972868	0.8059864828504143
ReplogleWeissman2022_K562_gwps	SUPT4H1	ulm	142	74615	5274725.0	0.4978348951849541	0.5021651048150458	0.002128463305709356	0.0018994876733951335	1.1205459953867205	0.46442689152994343	0.823505835306506	False	0.0009999190661276747	0.7669511248703225
ReplogleWeissman2022_K562_gwps	HDAC5	ulm	125	74615	4643186.0	0.49782869396234003	0.50217130603766	0.0016749712591674019	0.0016724645437516724	1.0014988152813729	0.46651973530111296	0.823505835306506	False	-0.010375600477385727	0.7624549545496724
ReplogleWeissman2022_K562_gwps	WT1	ulm	281	74615	10459313.0	0.4988508268900164	0.5011491731099836	0.0037819489146068905	0.003751869258705405	1.0080172452256144	0.47344843338434744	0.823505835306506	False	-0.0025717790879027924	0.7477122774938983
ReplogleWeissman2022_K562_gwps	GTF2H1	ulm	201	74615	7478632.0	0.4986547527723575	0.5013452472276425	0.0029915333691639253	0.0026865911035072712	1.113505276355066	0.4736980468577247	0.823505835306506	False	0.02718759497248563	0.7471851922238514
ReplogleWeissman2022_K562_gwps	NFKBIA	ulm	253	74615	9422080.0	0.4991144263874715	0.5008855736125286	0.0034788197294755158	0.003379280867660416	1.0294556344125412	0.48057491330667773	0.8246185229807445	False	0.0014695057201641326	0.7327721557382192
ReplogleWeissman2022_K562_gwps	E2F2	ulm	213	74615	7934972.0	0.4992748062904443	0.5007251937095557	0.002923683571116117	0.0028465280376329715	1.0271051373684357	0.4853981871918521	0.8246185229807445	False	-0.005251124601553858	0.7227857203652294
ReplogleWeissman2022_K562_gwps	FANCI	ulm	20	74615	743455.0	0.4981940628559941	0.5018059371440059	0.0003153152708292104	0.00026797079118376095	1.176677761916906	0.4888437044056389	0.8246185229807445	False	-0.017265027777096043	0.7157124634899024
ReplogleWeissman2022_K562_gwps	FOSL2	ulm	87	74615	3242857.0	0.4995539555157086	0.5004460444842914	0.0013477865579483556	0.0011646274530802388	1.1572684074926214	0.4942549670218845	0.8246185229807445	False	-0.012205301669299284	0.704703767367574
ReplogleWeissman2022_K562_gwps	TCF7L2	ulm	184	74615	6862104.0	0.4998196539336711	0.5001803460663289	0.002517416475956713	0.002459925934838701	1.023370842310251	0.4966241304658315	0.8246185229807445	False	0.00026484043265551094	0.69992181573573
ReplogleWeissman2022_K562_gwps	GTF2H5	ulm	97	74615	3617240.0	0.4997806610013879	0.5002193389986122	0.0012882669629186876	0.0012983188778241783	0.9922577457070204	0.4970175268425461	0.8246185229807445	False	-0.01641112934452002	0.6991299882305609
ReplogleWeissman2022_K562_gwps	TP53BP2	ulm	235	74615	8767162.0	0.49999426845038575	0.5000057315496143	0.0030441129880929498	0.003139612558450234	0.9695823708883289	0.49987937012549555	0.8246185229807445	False	-0.002495035235339782	0.6933884694167692
ReplogleWeissman2022_K562_gwps	RB1	ulm	433	74615	16159737.0	0.5001730051059643	0.4998269948940357	0.005753270852668454	0.0057696407632448566	0.9971627504643467	0.5049610297142975	0.8256445796078529	False	-0.0030363693700798944	0.6832740215670279
ReplogleWeissman2022_K562_gwps	PPARD	ulm	90	74615	3362092.0	0.500657746803964	0.49934225319603587	0.0011884023348373903	0.0012047386386453383	0.9864399602669693	0.5086184941948367	0.8256445796078529	False	0.009580970625094887	0.6760570637082484
ReplogleWeissman2022_K562_gwps	E2F5	ulm	52	74615	1944454.0	0.5011505213944402	0.49884947860555984	0.0008890420177412628	0.0006964254623863286	1.2765788526670552	0.5114612440048646	0.8256445796078529	False	0.04805952369776756	0.6704834657575465
ReplogleWeissman2022_K562_gwps	PARP1	ulm	258	74615	9639316.5	0.5007262864097717	0.49927371359022826	0.0033752030643109713	0.00344583494717722	0.9795022443184317	0.516090472149719	0.8272088418853653	False	0.011081005146737821	0.6614731952462312
ReplogleWeissman2022_K562_gwps	MTA1	ulm	143	74615	5350595.0	0.5014641593747672	0.4985358406252328	0.0020038573754718597	0.0019128387597314	1.0475830047239532	0.5241594240929165	0.8332381472140221	False	-0.005794092764761949	0.6459593964819222
ReplogleWeissman2022_K562_gwps	CCND1	ulm	310	74615	11591280.0	0.5011221042210228	0.49887789577897723	0.004265971558230127	0.004137470804137471	1.0310578032270719	0.5272259073079875	0.8332381472140221	False	0.0012250857622504996	0.6401261556734895
ReplogleWeissman2022_K562_gwps	E2F4	ulm	155	74615	5807232.0	0.5021244106845246	0.4978755893154754	0.0021251958944306128	0.002073023940082921	1.0251670775908188	0.5364631601043227	0.8405712692854931	False	-0.009270498080135081	0.6227573863626038
ReplogleWeissman2022_K562_gwps	FOS	ulm	400	74615	14973441.0	0.5016900422167124	0.49830995778328757	0.0057032193087558835	0.005332266879957342	1.0695674911158066	0.546481751513795	0.8405712692854931	False	-0.013230205944038509	0.6042543634806116
ReplogleWeissman2022_K562_gwps	SUPT16H	ulm	100	74615	3756480.0	0.5034483682905582	0.4965516317094418	0.0014663124014862078	0.0013384193267750785	1.0955553107704201	0.5475114747846969	0.8405712692854931	False	0.01308924073490475	0.6023718590002458
ReplogleWeissman2022_K562_gwps	TBL1X	ulm	106	74615	3981130.0	0.5033549579666186	0.49664504203338145	0.0014614468192232577	0.001418610564633771	1.030195922445104	0.5475886983257912	0.8405712692854931	False	-0.003414819452097123	0.6022308243385437
ReplogleWeissman2022_K562_gwps	TNRC6B	ulm	85	74615	3196338.0	0.5039734164791025	0.49602658352089746	0.0011683845666019606	0.0011378848728246318	1.0268038485313702	0.5504626011250132	0.8405712692854931	False	0.021491593814721655	0.596996261321515
ReplogleWeissman2022_K562_gwps	LIN37	ulm	210	74615	7880840.0	0.5029526170851641	0.49704738291483586	0.0029625583887052083	0.00280654861343134	1.0555877687374629	0.5588336162628209	0.8476268273516612	False	0.008430819321820632	0.5819034954581014
ReplogleWeissman2022_K562_gwps	ACTL6A	ulm	59	74615	2228760.0	0.5062734466305566	0.4937265533694434	0.0008013817376894576	0.0007901009722259421	1.014277625088518	0.5662604883253202	0.853165802410149	False	0.04738292091451335	0.5687010799276099
ReplogleWeissman2022_K562_gwps	NFYC	ulm	27	74615	1027899.0	0.5102235922178293	0.48977640778217063	0.00040105095748672285	0.00036172664183703544	1.1087127988416285	0.572991157414474	0.8575894144084181	False	-0.011605873119796689	0.5568849944729061
ReplogleWeissman2022_K562_gwps	MDC1	ulm	179	74615	6743750.0	0.504919667702025	0.49508033229797505	0.002483777188446656	0.0023932400994732196	1.0378303409646883	0.5900745257092203	0.8728375314222961	False	0.017730583744335976	0.5275064352980194
ReplogleWeissman2022_K562_gwps	GTF2F1	ulm	80	74615	3028909.0	0.5074229377471018	0.49257706225289816	0.0010934791101026345	0.0010710221567708682	1.0209677766139535	0.5909032845469527	0.8728375314222961	False	0.023184316765492125	0.5261029220963668
ReplogleWeissman2022_K562_gwps	YBX1	ulm	154	74615	5812654.0	0.5058568182470883	0.49414318175291166	0.0021941485327072294	0.0020596771389212107	1.0652876080648495	0.5992923407318809	0.8794809675675654	False	0.008829193752619924	0.512005751956949
ReplogleWeissman2022_K562_gwps	FOXO3	ulm	379	74615	14265813.0	0.504465155078391	0.495534844921609	0.005081145842578253	0.005053737632343921	1.0054233544018827	0.6180495889163494	0.9011561748070643	False	-0.0032833987387949	0.4811865837786136
ReplogleWeissman2022_K562_gwps	MOV10	ulm	142	74615	5385580.0	0.5082975235315936	0.4917024764684063	0.0017774782856832345	0.0018994876733951335	0.9357672126959266	0.6338968389644711	0.9089224339858288	False	0.03172181439592586	0.4558690523514427
ReplogleWeissman2022_K562_gwps	HDAC1	ulm	161	74615	6101029.0	0.5078682578853019	0.4921317421146981	0.002160495321377187	0.0021530972504546914	1.0034360133621152	0.6351304137703391	0.9089224339858288	False	0.006182846772466943	0.4539249251599303
ReplogleWeissman2022_K562_gwps	FOXO1	ulm	184	74615	6971145.0	0.5077619461059526	0.4922380538940474	0.0026312532285170443	0.002459925934838701	1.0696473382600347	0.6421752641554759	0.9089224339858288	False	0.01923873995194403	0.4428940154222015
ReplogleWeissman2022_K562_gwps	RUNX2	ulm	152	74615	5768188.0	0.5085921766824083	0.4914078233175917	0.0024009400374595683	0.0020329824655262348	1.1809939722417075	0.643035179123776	0.9089224339858288	False	0.019860671394903107	0.4415558453176594
