Dataset	TF	Top_Method	Top_ROC_AUC	Top_MWU_Adjusted_P_Value	Top_MWU_Significant_FDR_BH	Top_N_Cells	Top_N_Pos	Top_N_Control	Second_Method	Second_ROC_AUC	Second_MWU_Adjusted_P_Value	Second_MWU_Significant_FDR_BH	AUC_Diff	DeLong_Z	DeLong_P_Value	DeLong_P_Value_FDR_BH	DeLong_Significant_FDR_BH
NormanWeissman2019_filtered	IRF1	z-aggregate	0.9178903353248814	6.635307740478897e-186	True	12184	420	11764	ulm	0.870507682841923	2.2134916799679806e-146	True	0.047382652482958365	9.009386245989683	2.072128731869802e-19	9.669934082059076e-19	True
NormanWeissman2019_filtered	CEBPA	zscore	0.8485248693635588	8.59846147471293e-139	True	12215	451	11764	ulm	0.8479937288476777	1.1290911833962005e-138	True	0.0005311405158811011	1.0912916473176966	0.275144571937218	0.3501840006473683	False
NormanWeissman2019_filtered	TP73	zscore	0.8241693688613186	9.629928895306672e-68	True	12010	246	11764	ulm	0.8200327995289474	3.6753898415955124e-66	True	0.004136569332371276	3.9505893547338435	7.795898514432026e-05	0.00013642822400256047	True
NormanWeissman2019_filtered	SPI1	zscore	0.7435961890827123	5.966612299656849e-91	True	12371	607	11764	ulm	0.7211381776811057	3.26936528472342e-75	True	0.022458011401606637	9.79295588999935	1.2071428669819446e-22	1.6900000137747224e-21	True
NormanWeissman2019_filtered	CEBPB	zscore	0.7335869318825797	1.9953568890103908e-67	True	12244	480	11764	ulm	0.7317747294004308	2.5921840688785184e-66	True	0.0018122024821489724	5.669770503165768	1.429889250852439e-08	4.003689902386829e-08	True
NormanWeissman2019_filtered	JUN	zscore	0.5945061043285238	1.558431696074416e-07	True	12029	265	11764	ulm	0.572262996157128	5.6522894422039395e-05	True	0.022243108171395853	7.575501802943617	3.57742142354258e-14	1.252097498239903e-13	True
NormanWeissman2019_filtered	ETS2	viper	0.5733381325055236	7.868330829807683e-17	True	12959	1195	11764	ulm	0.5638139334385168	4.432458371815714e-13	True	0.009524199067006744	4.863936353808424	1.150739300634933e-06	2.685058368148177e-06	True
NormanWeissman2019_filtered	SNAI1	zscore	0.552488441514283	0.00011230948353247297	True	12226	462	11764	z-aggregate	0.5279482786283194	0.03298575387473031	True	0.024540162885963612	4.543544833353514	5.531603364173471e-06	1.1063206728346942e-05	True
NormanWeissman2019_filtered	FOXO4	zscore	0.5510709848198369	0.007510094853074864	True	11978	214	11764	ulm	0.5441347275229037	0.01939333432342546	True	0.006936257296933146	9.026635247210114	1.7703131083049858e-19	9.669934082059076e-19	True
NormanWeissman2019_filtered	MAML2	ulm	0.5478652632201411	5.6522894422039395e-05	True	12385	621	11764	zscore	0.5478652632201411	5.6522894422039395e-05	True	0.0	0.0	1.0	1.0	False
NormanWeissman2019_filtered	HNF4A	viper	0.5474288328544348	0.0115701897978513	True	11997	233	11764	z-aggregate	0.5425116708719262	0.023010681125363627	True	0.004917161982508578	0.3994962492412448	0.6895275868729804	0.7425681704785942	False
NormanWeissman2019_filtered	EGR1	zscore	0.5449849142847305	0.005012563083543239	True	12080	316	11764	viper	0.5425958943612567	0.009643093371651527	True	0.002389019923473845	0.4095667025607316	0.6821238268800143	0.7425681704785942	False
NormanWeissman2019_filtered	MAPK1	viper	0.5302428383483723	0.005952780708137044	True	12521	757	11764	ulm	0.5240938366473719	0.01939333432342546	True	0.006149001701000412	3.2546312654116214	0.0011353967649717603	0.0015895554709604643	True
NormanWeissman2019_filtered	AHR	z-aggregate	0.5288087168533523	0.021355298415479475	True	12321	557	11764	viper	0.5043051954751037	0.44979486234483973	False	0.024503521378248627	3.5868330234248123	0.0003347185070303603	0.0005206732331583383	True
PapalexiSatija2021_eccite_RNA	STAT1	viper	0.8200293755616471	2.514017596116178e-101	True	2830	444	2386	z-aggregate	0.7933799264478224	2.3872792295233123e-85	True	0.02664944911382472	4.503471225603172	6.685242307631671e-06	5.3481938461053366e-05	True
PapalexiSatija2021_eccite_RNA	SMAD4	zscore	0.6107694479812055	4.71473370884728e-18	True	3045	659	2386	ulm	0.6082624108513623	2.6410738491902477e-17	True	0.002507037129843126	2.5509305785334733	0.010743572339571544	0.04297428935828618	True
PapalexiSatija2021_eccite_RNA	SPI1	viper	0.6072663453478625	0.010826348175495968	True	2434	48	2386	ulm	0.5984300782341436	0.016141839391326445	True	0.008836267113718876	0.5446995485560411	0.585960175386393	0.585960175386393	False
PapalexiSatija2021_eccite_RNA	JAK2	viper	0.603396112740989	1.5258145678483684e-21	True	3410	1024	2386	zscore	0.5947191953059514	4.030313986447515e-18	True	0.008676917435037623	1.9399087668247348	0.05239077846077652	0.13970874256207072	False
