Dataset	TF	Top_Weight	Top_ROC_AUC	Top_MWU_Adjusted_P_Value	Top_MWU_Significant_FDR_BH	Top_N_Cells	Top_N_Pos	Top_N_Control	Second_Weight	Second_ROC_AUC	Second_MWU_Adjusted_P_Value	Second_MWU_Significant_FDR_BH	AUC_Diff	DeLong_Z	DeLong_P_Value	DeLong_P_Value_FDR_BH	DeLong_Significant_FDR_BH
NadigOConner2024_jurkat	HSF1	NONZERORATE	0.6663424838520259	0.00481738232858718	True	11953	32	11921	CORRELATION	0.6374150658501804	0.017739397043883356	True	0.028927418001845506	0.7112660486280583	0.4769193863497102	0.6915331102070797	False
NadigOConner2024_jurkat	SSRP1	NONZERORATE	0.6643466546924114	0.042499368554912396	True	11938	17	11921	UNIFORM	0.6489610524186187	0.07120297817291037	True	0.015385602273792709	1.3647577938687545	0.1723291882561322	0.35696760424484525	False
NadigOConner2024_jurkat	CDK12	CORRELATION	0.662066940692895	0.003982238390565217	True	11957	36	11921	UNIFORM	0.6545754923617519	0.007105715370536108	True	0.0074914483311430136	0.5786431446643675	0.5628299864673847	0.7419122548888253	False
NadigOConner2024_jurkat	KAT5	NONZERORATE	0.655232733140232	0.005696759841576825	True	11955	34	11921	UNIFORM	0.6273284416526446	0.028987322840464274	True	0.02790429148758744	1.575787373936874	0.11507481315772251	0.3033790528703594	False
NadigOConner2024_jurkat	SUPT5H	NONZERORATE	0.6504403992953611	0.002941642280535282	True	11966	45	11921	UNIFORM	0.6300058719906048	0.010871619010521508	True	0.020434527304756367	2.197267785931921	0.02800132691580841	0.16240769611168876	False
NadigOConner2024_jurkat	GTF2H1	SPECIFICITY	0.6422881797923286	0.005152313409523674	True	11967	46	11921	CORRELATION	0.6402329830806432	0.003982238390565217	True	0.002055196711685303	0.30762880689629557	0.7583647977798824	0.8797031654246636	False
NadigOConner2024_jurkat	NFYB	SPECIFICITY	0.6256987287521638	0.09526907861667415	True	11943	22	11921	NONZERORATE	0.6242497960055212	0.08077168590792853	True	0.001448932746642595	0.05565399035490426	0.9556174530339594	0.9932294404263586	False
NadigOConner2024_jurkat	ELL	NONZERORATE	0.600921191321125	0.0044469014273745555	True	12013	92	11921	CORRELATION	0.5862694806023714	0.014152839705181887	True	0.014651710718753597	0.5176863810549905	0.6046771018220445	0.7624189544712735	False
NadigOConner2024_jurkat	CCNH	CORRELATION	0.5963400594955315	3.987777843871412e-05	True	12120	199	11921	SPECIFICITY	0.5922431552106645	6.638774995087342e-05	True	0.004096904284866976	0.734391017136206	0.4627104599766272	0.6915331102070797	False
NadigOConner2024_jurkat	MNAT1	CORRELATION	0.5946473196606341	0.0013987063015365676	True	12050	129	11921	SPECIFICITY	0.580652083581251	0.00849558309712118	True	0.013995236079383133	1.6422548536838757	0.10053719902419016	0.2915578771701514	False
