Dataset	TF	Weight	N_Pert	N_Control	U_Stat	MWU_AUC_Effect	ROC_AUC	PR_AUC	AP_Baseline	AP_Lift	P_Value	Adjusted_P_Value	Significant_FDR_BH	Mean_Diff	Score
NadigOConner2024_hepg2	CHEK1	UNIFORM	63	4923	152837.0	0.49278572557061284	0.5072142744293872	0.012722773551402203	0.01263537906137184	1.0069166496395459	0.42187333260627435	0.5662751701292631	False	-0.02829049608327261	0.8630501697038363
NadigOConner2024_hepg2	HDAC3	UNIFORM	42	4923	101710.0	0.4919087277405376	0.5080912722594624	0.009173669692686105	0.008459214501510574	1.0844588100996788	0.4282597643758622	0.5662751701292631	False	-0.17104477903815857	0.8480253413936769
NadigOConner2024_hepg2	RAD51	UNIFORM	46	4923	111622.5	0.4929059693188141	0.507094030681186	0.009999411514950998	0.009257395854296638	1.0801538221259024	0.43414429709910174	0.5662751701292631	False	0.0787243434087441	0.8343783183463906
NadigOConner2024_hepg2	YBX1	UNIFORM	35	4923	85136.0	0.49410057746438	0.5058994225356199	0.007761052518114552	0.0070592981040742235	1.0994085252803414	0.4520818445647036	0.5812480858689046	False	-0.15968455138999332	0.7938920434956656
NadigOConner2024_hepg2	CTDP1	UNIFORM	82	4923	200562.0	0.49682674157637374	0.5031732584236263	0.016330314633007152	0.016383616383616385	0.9967466431487901	0.46067655287925824	0.583956193790609	False	-0.06824414513298233	0.7750591028888166
NadigOConner2024_hepg2	LIN54	UNIFORM	137	4923	338308.0	0.501605009111114	0.49839499088888595	0.027709871216860846	0.02707509881422925	1.0234448785205539	0.5256009725965418	0.6570012157456773	False	0.05101778735544604	0.6432129613634069
NadigOConner2024_hepg2	ERCC3	UNIFORM	38	4923	94482.0	0.5050514769556432	0.49494852304435677	0.007834477437044272	0.007659746018947792	1.0228116464520167	0.542828691321932	0.6646749221951254	False	0.25516474398110744	0.61096149441922
NadigOConner2024_hepg2	CDK7	UNIFORM	18	4923	45012.0	0.5079558534768772	0.4920441465231228	0.0036306130269567563	0.0036429872495446266	0.9966032758996296	0.5465104915826586	0.6646749221951254	False	0.21389767347424893	0.6042017737773417
NadigOConner2024_hepg2	GTF2H3	UNIFORM	34	4923	86416.0	0.5162801257004935	0.4837198742995065	0.008350280704639074	0.00685898729070002	1.2174218074381145	0.6285169611864702	0.7542203534237641	False	0.4567071345331678	0.46439226454354465
NadigOConner2024_hepg2	RAD51D	UNIFORM	37	4923	95078.0	0.5219735274579882	0.47802647254201186	0.0073311619956025155	0.007459677419354839	0.9827719864375264	0.677830423783299	0.8026939229012752	False	-0.01149494116513805	0.3888581347390808
NadigOConner2024_hepg2	GTF2H2	UNIFORM	30	4923	78310.0	0.5302322432121335	0.46976775678786653	0.005733854303091009	0.0060569351907934586	0.9466593454403256	0.7163051029454506	0.8372397307154618	False	0.12213619810281962	0.333649081353252
NadigOConner2024_hepg2	POLR2L	UNIFORM	24	4923	63602.0	0.5383065881237727	0.4616934118762272	0.004608956026287105	0.004851425106124924	0.9500210609184295	0.741789931406974	0.8559114593157392	False	0.2813137165081363	0.29868918720968524
NadigOConner2024_hepg2	CCND1	UNIFORM	39	4923	102352.5	0.5330942670979234	0.4669057329020766	0.008364157932863322	0.007859733978234583	1.0641782477658412	0.7621092080729992	0.8682256800831637	False	0.13645520099369135	0.27166541588338716
NadigOConner2024_hepg2	RBBP4	UNIFORM	39	4923	102711.0	0.534961483773184	0.465038516226816	0.007270067164717307	0.007859733978234583	0.9249762377263405	0.7743769341854838	0.8711740509586693	False	0.40200979847337626	0.25569652886434013
NadigOConner2024_hepg2	NANOG	UNIFORM	28	4923	76902.0	0.5578915295551493	0.44210847044485074	0.004843559582894889	0.005655423146839022	0.856445124818307	0.8550004926041658	0.9500005473379619	False	0.5796362929126981	0.15665323390031968
NadigOConner2024_hepg2	YY1	UNIFORM	50	4923	134511.0	0.5464594759293114	0.4535405240706886	0.008863945340778022	0.010054293183189221	0.8816080035937821	0.8712290914176615	0.9558264412897216	False	0.3363900479061521	0.1378503155682109
NadigOConner2024_hepg2	ZBTB17	UNIFORM	127	4923	331792.0	0.5306795517105152	0.4693204482894849	0.02578247989876086	0.02514851485148515	1.02520884636805	0.8814843847449655	0.9558264412897216	False	0.1957381740402535	0.12614799171408586
NadigOConner2024_hepg2	HSF1	UNIFORM	32	4923	88792.0	0.5636299004671949	0.4363700995328052	0.009855508346007527	0.006458123107971746	1.526063870452103	0.8930274054016494	0.9568150772160529	False	0.37127956992430444	0.11313800943695505
NadigOConner2024_hepg2	CLOCK	UNIFORM	225	4923	586029.0	0.5290622249305978	0.47093777506940215	0.040664416318967	0.043706293706293704	0.930401845377965	0.9301140705883075	0.971335656566934	False	0.141413836903237	0.07244804380996735
