Dataset	TF	correlation_MWU-pvalue	correlation_MWU-adjusted-pvalue	correlation_ROC-AUC	nonzero-rate_MWU-pvalue	nonzero-rate_MWU-adjusted-pvalue	nonzero-rate_ROC-AUC	specificity_MWU-pvalue	specificity_MWU-adjusted-pvalue	specificity_ROC-AUC	uniform_MWU-pvalue	uniform_MWU-adjusted-pvalue	uniform_ROC-AUC	Top, Second	DeLongs-pvalue	DeLongs-adjusted-pvalue	Winner
NadigOConner2024_jurkat	CDC6	0.9479036387555247	0.9999999999179392	0.4257098817213321	0.6168163996224185	0.7943847570894784	0.4864157788776109	0.4293567696154357	0.6292297485743453	0.5081400469759249	0.6521599908326624	0.8455708565235106	0.4821166428990856				
ReplogleWeissman2022_K562_essential	CDC6	0.9836955395207216	0.9980810892615924	0.4544947212229041	0.2979567855745186	0.5882736535702036	0.5112929362136467	0.2662983302075181	0.5541884169183484	0.513289618957586	0.5206130916574933	0.8155985603347663	0.4988994385177431				
ReplogleWeissman2022_K562_gwps	CDC6	0.2816513299026013	0.6684524896355072	0.5155004887156368	0.2606799511758491	0.6283718021343476	0.5171984000628513	0.5656857021724284	0.8668657586954832	0.4955640101948623	0.3635253323106159	0.7719967256735721	0.5093616195319883				
ReplogleWeissman2022_rpe1	CDC6	0.0009502543370265	0.0020546039719493	0.5981603059168117	0.0464815360864089	0.0827371342338078	0.5531041252039237	0.0757206431681744	0.1403986925409901	0.545343551422146	0.0126575011219429	0.02560267272393	0.570697888372908	correlation, uniform	0.0687275824066617	0.1882538126791168	
NadigOConner2024_hepg2	CDK12	0.5988556418467956	0.7712534781360246	0.4824533103917984	0.3646047680186891	0.5495983924876979	0.5242738167783871	0.3744466897183915	0.6127309468119133	0.5224456632134877	0.3700619600786381	0.5371867162431844	0.5232581759089987				
NadigOConner2024_jurkat	CDK12	0.0003851309039458	0.0039822383905652	0.662066940692895	0.0008266425219538	0.0056967598415768	0.6516138653543234	0.0010375491702785	0.009799075497075	0.6483819403666732	0.0006687732113445	0.0071057153705361	0.6545754923617519	correlation, uniform	0.5628299864673847	0.7419122548888253	
ReplogleWeissman2022_K562_gwps	CDK12	0.772540887737434	0.9752342296223954	0.4706364274882669	0.3748957434453367	0.7304003277469491	0.512532233365846	0.5047053349903714	0.8449141163542513	0.4995366337321708	0.4002649640916262	0.7866076685626742	0.5099287453371754				
ReplogleWeissman2022_rpe1	CDK12	0.0002956554730848	0.000739138682712	0.6242613959957943	0.0013564112867336	0.0032627190410619	0.6084543119688075	0.0011994226561037	0.0031396651880362	0.6098028290107771	0.0008553201836607	0.0021749570384517	0.6134390333391746	correlation, uniform	0.1461110874027764	0.2876562033242162	
NadigOConner2024_hepg2	CDK7	0.5870782568137496	0.7677177204487495	0.485013654727244	0.6648529161449668	0.8169432991272889	0.4709978107296815	0.562937965463528	0.779452567564885	0.4892116369873834	0.5465104915826586	0.7026563463205611	0.4920441465231228				
NadigOConner2024_jurkat	CDK7	0.0004856668015313	0.0039822383905652	0.7382350473953527	0.0193170578583508	0.0746340871799918	0.6493582753124738	0.0070542608948322	0.0428294411471959	0.677265959231608	0.0114781449752914	0.0513495959420933	0.664242722925929	correlation, specificity	0.0244504920000502	0.1624076961116887	
ReplogleWeissman2022_K562_essential	CDK7	0.0207055336167244	0.0784630747581136	0.6429092395928877	0.0693191021113023	0.2052911870219338	0.6037727508813031	0.0275281632415723	0.0963485713455031	0.6344332585560994	0.031773146005087	0.1165015353519857	0.6300129294625985	correlation, specificity	0.8160838656602112	0.8603066506365463	
