Dataset	TF	CausalPath_MWU-pvalue	CausalPath_MWU-adjusted-pvalue	CausalPath_ROC-AUC	CollecTRI_MWU-pvalue	CollecTRI_MWU-adjusted-pvalue	CollecTRI_ROC-AUC	DoRothEA_MWU-pvalue	DoRothEA_MWU-adjusted-pvalue	DoRothEA_ROC-AUC	Ensemble_MWU-pvalue	Ensemble_MWU-adjusted-pvalue	Ensemble_ROC-AUC	Best3_Top, Second	Best3_DeLongs-pvalue	Best3_DeLongs-adjusted-pvalue	Best3_Winner	Best4_Top, Second	Best4_DeLongs-pvalue	Best4_DeLongs-adjusted-pvalue	Best4_Winner
NadigOConner2024_hepg2	E2F6	0.7955016915223796	0.894939402962677	0.4679674124372479	0.8653007591121747	0.9974158144449194	0.4571508371782594	0.3389839830208764	0.7253899937716413	0.516112416935086	0.690453144852331	0.8511620664989943	0.4807137053480746								
NadigOConner2024_jurkat	E2F6	0.0472391389686933	0.1544356466284206	0.5444745132345363	0.0968193642561435	0.2827125436279391	0.534571785261374	0.7939415256212217	0.9394447688875062	0.4781872819591723	0.5830937358673651	0.8115222097123123	0.4944201990837439								
ReplogleWeissman2022_K562_essential	E2F6	0.0779845175774177	0.2502003272275485	0.5336771244285804	0.1851026906639115	0.4720118611929744	0.5212705867618512	0.2306148945886723	0.4789693964533964	0.5174901371407101	0.1151764892042139	0.3224941697717989	0.5284714133633915								
ReplogleWeissman2022_K562_gwps	E2F6	0.0102731892222579	0.0892977217011654	0.5384271276764584	0.5185606388147074	0.9037171005689472	0.4992278785484787	0.7382630596796526	0.9999995011210674	0.4894153144034112	0.6194188489843262	0.960791235007061	0.4949572718904411	CausalPath, CollecTRI	0.0652069285820777	0.1676749592110569		CausalPath, CollecTRI	0.0652069285820777	0.2844221729469842	
ReplogleWeissman2022_rpe1	E2F6	0.6098119177483029	0.7048475412934929	0.493511672474259	0.6658809518637602	1.0	0.4900271170752201	0.0857799476749439	0.2090886224576759	0.5318165070421269	0.1237377038747913	0.2422470540647323	0.5269131916595335								
NormanWeissman2019_filtered	EGR1	0.0327912866608427	0.0476964169612257	0.5303010902173118	0.8048036789680781	1.0	0.4858654810427866	0.1302620519833581	0.1674797811214605	0.518516316675203	0.3772497647646926	0.5195477365211054	0.5051463056137798	CausalPath, DoRothEA	0.5795248259937218	0.637477308593094		CausalPath, DoRothEA	0.5795248259937218	0.8532496674482819	
ReplogleWeissman2022_K562_gwps	EGR1	0.9946596187938312	0.99999988097155	0.4617451263222702	0.9997224868088824	0.9998782080621428	0.4482633730720289	0.9999915469475992	0.9999995011210674	0.4355329655592183	0.9999973175522412	0.9999973175522412	0.4318209705262708								
ReplogleWeissman2022_K562_gwps	ELK1	0.0265330863902989	0.1737648515870974	0.5467406345580976	0.0232835970716643	0.274679983867637	0.5480906415168963	0.7004345213891219	0.9999995011210674	0.4872984818572167	0.4558072342806564	0.8797803125163146	0.5026822537510737								
ReplogleWeissman2022_K562_gwps	EPAS1	0.0321468430338365	0.1885523103849364	0.5354251532133961	0.6049267398230865	0.9409120818571264	0.4949045450858265	0.2849358363716445	0.8412247588103643	0.5108802966338315	0.3328978133818719	0.8261300838211353	0.5082702316334964								
ReplogleWeissman2022_K562_gwps	ERG	0.0370415686764377	0.2092848630218732	0.5246529152680731	0.2353952121645447	0.7228623317410735	0.5099544022954194	0.8387519055772299	0.9999995011210674	0.4863444774082715	0.7297749301593346	0.9895381939239372	0.4915509616028948								
