Dataset	TF	z-aggregate_MWU-pvalue	z-aggregate_MWU-adjusted-pvalue	z-aggregate_ROC-AUC	viper_MWU-pvalue	viper_MWU-adjusted-pvalue	viper_ROC-AUC	ulm_MWU-pvalue	ulm_MWU-adjusted-pvalue	ulm_ROC-AUC	zscore_MWU-pvalue	zscore_MWU-adjusted-pvalue	zscore_ROC-AUC	Top, Second	DeLongs-pvalue	DeLongs-adjusted-pvalue	Winner
GasperiniShendure2019_lowMOI	BTF3	0.0090178356076506	0.0818434379599987	0.6794941282746161	0.0232424228013324	0.1510757482086609	0.6516711833785005	0.0103034729825042	0.0669725743862774	0.6756097560975609	0.0043079094472655	0.0409510538669452	0.7000903342366758	zscore, z-aggregate	0.3460489028478466	0.6920978056956932	
ReplogleWeissman2022_rpe1	BTF3	0.4660206978419694	0.5841667902526096	0.5023693406119049	0.4933171301823016	0.6272174940889264	0.5004658296470225	0.5723063200182921	0.6702008221266842	0.4949490240085143	0.7443205027435342	0.8587448224583036	0.4817546705551451				
SunshineHein2023	BTF3	0.8068176401017141	0.9580959476207856	0.4718505859374999	0.8055081125833954	0.9464153169232016	0.4718343098958333	0.8313211049776421	0.8775056108097334	0.4686319986979166	0.9431457709382992	0.9431457709382992	0.4482828776041666				
ReplogleWeissman2022_K562_gwps	CARM1	0.0012834821761724	0.0207190694153553	0.5699894728423109	0.0002190987251036	0.0045014828975843	0.5816091635989478	0.0001425769408206	0.0026851990521214	0.5842200716365515	0.0001425769408206	0.0024786452788813	0.5842200716365515	ulm, zscore	1.0	1.0	
ReplogleWeissman2022_K562_gwps	CBFB	0.9932239480000812	0.99999988097155	0.4423216958163015	0.9989635207731024	0.99998213924301	0.4280547770494202	0.998060596362186	0.999996985483837	0.4325338042474244	0.9981158131084944	0.99999607242354	0.4323218228299607				
FrangiehIzar2021_RNA	CCND1	0.3455863323698012	0.5809318272557525	0.5045908543019628	0.8082740558385575	0.8891014614224133	0.4899280411189743	0.3101493314192494	0.4873775208016776	0.5057253392617062	0.1378283155125965	0.2480221068158682	0.5125979097139264				
NadigOConner2024_hepg2	CCND1	0.5902982065722258	0.7378727582152822	0.4894060844700698	0.8204454350465284	0.9589621968076308	0.4574394391579035	0.7532902508432704	0.8652039260487813	0.4682156492028521	0.7275154982046941	0.8633609792970659	0.4719084152356547				
NadigOConner2024_jurkat	CCND1	0.5186846424747581	0.7260260065931703	0.4991852389935872	0.4350726687209018	0.6454391324988487	0.5028434831910551	0.5522799952019352	0.7944771686426124	0.4977142666764235	0.6159868670175038	0.859998523729427	0.4948698910855805				
ReplogleWeissman2022_K562_essential	CCND1	0.0229176781184524	0.0980367341733798	0.5480362423085139	0.0444792983368814	0.1556775441790849	0.5409163902321021	0.0175104644091391	0.0842691099689822	0.5507116956912237	0.0111545315970038	0.0572599288646196	0.5549682303984518	zscore, ulm	0.4417977987790602	0.7136733672584818	
ReplogleWeissman2022_K562_gwps	CCND1	0.714378832200114	0.8981778257139823	0.4906979483931493	0.5699077690828562	0.8298497066840947	0.4971060908361849	0.5272259073079875	0.8332381472140221	0.4988778957789772	0.3911095161258894	0.7365895887037583	0.5045416795464027				
ReplogleWeissman2022_rpe1	CCND1	0.2118196145856881	0.3141990949687708	0.5298986535821724	0.2833438636324413	0.4134033420211029	0.5214097958468413	0.19856111831067	0.2854801427309648	0.531642279272175	0.1832295847767199	0.2811626387091047	0.5337480650719939				
NadigOConner2024_hepg2	CCNH	0.0474136375218386	0.1185340938045966	0.5496711862685355	0.128434732954027	0.2819299016064008	0.5337340882930461	0.1525621222057602	0.3193160697329866	0.5305115444512154	0.1525621222057602	0.3120588863299642	0.5305115444512154				
NadigOConner2024_jurkat	CCNH	7.523745257837458e-06	0.0001065863911526	0.5893063168371006	3.546934166960025e-07	6.0297880838320425e-06	0.6023224924218441	7.658012333307901e-05	0.0010848850805519	0.5781204487330537	7.658012333307901e-05	0.0010848850805519	0.5781204487330537	viper, z-aggregate	0.0120011793275964	0.0870085501250746	viper
ReplogleWeissman2022_K562_essential	CCNH	0.8917873397361271	0.9999881318155772	0.4580921768803769	0.7143683658461399	0.901197295274289	0.4808044181492051	0.9003399873348862	0.999974251399644	0.4564850390782827	0.9003399873348862	0.9999654569773756	0.4564850390782827				
ReplogleWeissman2022_K562_gwps	CCNH	0.4488361861960264	0.7886027772090635	0.5039823584823551	0.2425898124544475	0.603502272722088	0.5216152494683437	0.3883543216475087	0.7602413715539595	0.5087827861181651	0.3883543216475087	0.7365895887037583	0.5087827861181651				
ReplogleWeissman2022_rpe1	CCNH	1.5229844182059543e-09	9.681829515737853e-09	0.7178606456135194	8.865646792051974e-12	7.890425644926257e-11	0.7471785145971064	2.1183866391117112e-12	1.8853641088094228e-11	0.7547321532039016	2.1183866391117112e-12	1.8853641088094228e-11	0.7547321532039016	ulm, zscore	1.0	1.0	
NadigOConner2024_hepg2	CCNK	0.2087615188277498	0.3613180133557208	0.5244856816479155	0.2657258057391729	0.4695668437387401	0.518911669822798	0.1135377151210175	0.2620101118177327	0.5365030065153908	0.1135377151210175	0.2689051147603046	0.5365030065153908				
NadigOConner2024_jurkat	CCNK	0.0051154099130231	0.0289873228404642	0.5486308068200039	0.0035883614861532	0.0254175605269191	0.5509148306520033	0.0066111448545999	0.046828942720083	0.5469226557254385	0.0066111448545999	0.0510861193309996	0.5469226557254385	viper, z-aggregate	0.6249354198264124	1.0	
ReplogleWeissman2022_K562_essential	CCNK	0.5273440934010574	0.8155985603347663	0.4988766320683825	0.3420529408107883	0.5985926464188795	0.5066641813826789	0.4165132541737121	0.798400376388726	0.5034531749013713	0.4165132541737121	0.8313085811442766	0.5034531749013713				
ReplogleWeissman2022_K562_gwps	CCNK	0.8469960804731227	0.9741417727909524	0.4889803193583812	0.8869173911721173	0.9825653451220516	0.4869701935500307	0.7391174032689526	0.9360845083614904	0.4931031452733767	0.7391174032689526	0.9347977731237102	0.4931031452733767				
ReplogleWeissman2022_rpe1	CCNK	0.8521601806710369	0.9480282009965286	0.4835341404108184	0.5982110426120938	0.7005366156904783	0.4960819448869026	0.5241460954072551	0.6390274313869274	0.4990460629775699	0.5241460954072551	0.6570282041020522	0.4990460629775699				
ReplogleWeissman2022_K562_gwps	CCNT1	0.9893679056273336	0.99999988097155	0.4481809856251993	0.9840280458855736	0.99998213924301	0.4517386422016858	0.9868130131600956	0.999996985483837	0.4500389270984996	0.9868130131600956	0.99999607242354	0.4500389270984996				
